"%1 <a href=""%2"">Open the mail health report</a>.","%1 <a href=""%2"">Otwórz raport o wysyłce poczty</a>."
"%1 bytes","%1 bajtów"
"%1 entries deleted.","Usunięto %1 wpisów."
"%1 is not a port number.","%1 nie jest numerem portu."
"%1 is not an e-mail address.","%1 nie jest adresem e-mail."
"%1 ms","%1 ms"
"%1 of the 10 DNS lookups a receiver allows","%1 z 10 zapytań DNS, na które pozwala odbiorca"
"%1 publishes no DMARC record, so nobody is told when somebody forges the shop's address and receivers have no instruction about what to do with it.","%1 nie publikuje wpisu DMARC, więc nikt nie dowie się o podszywaniu pod adres sklepu, a odbiorcy nie mają wskazówki, co z taką pocztą robić."
"%1 publishes no SPF record, so nothing says which servers may send as it. Gmail and Outlook treat mail from such a domain as suspicious by default.","%1 nie publikuje wpisu SPF, więc nic nie mówi, które serwery mogą z niej wysyłać. Gmail i Outlook domyślnie traktują pocztę z takiej domeny jako podejrzaną."
"%1 publishes two SPF records. A receiving server reads that as a permanent error and ignores both, so the domain authorises nobody at all — they have to be merged into one.","%1 publikuje dwa wpisy SPF. Serwer odbiorcy czyta to jako błąd trwały i pomija oba, więc domena nie dopuszcza nikogo — trzeba je scalić w jeden."
"%1: sending e-mail works again","%1: wysyłka poczty znowu działa"
"%1: the shop cannot send e-mail (%2)","%1: sklep nie może wysyłać poczty (%2)"
"The certificate is not being checked, so nothing proves the server is the one it claims to be.","Certyfikat nie jest sprawdzany, więc nic nie dowodzi, że serwer jest tym, za kogo się podaje."
"The certificate presented by %1 was not accepted.","Certyfikat przedstawiony przez %1 nie został przyjęty."
"The channel that always works, because somebody logs in to process orders anyway.","Kanał, który zawsze działa, bo ktoś i tak loguje się po zamówienia."
"The check opens a connection, raises encryption and logs in, then says goodbye without sending anything. It costs the provider nothing and counts against no sending limit — and it proves the connection, never the delivery.","Kontrola otwiera połączenie, podnosi szyfrowanie, loguje się i mówi do widzenia, nic nie wysyłając. Nic nie kosztuje u dostawcy i nie zużywa limitu wysyłki — i dowodzi połączenia, nigdy dostarczenia."
"The check took","Sprawdzenie zajęło"
"The connection check proves the shop can hand a message to its provider. Whether a receiving server believes that message is decided by what the sending domain publishes in DNS — and that is where ""the settings are right and the mail still is not arriving"" nearly always ends up.","Test połączenia dowodzi, że sklep umie przekazać wiadomość dostawcy. Czy serwer odbiorcy jej uwierzy, rozstrzyga to, co domena nadawcy publikuje w DNS — i właśnie tam niemal zawsze kończy się „ustawienia są dobre, a poczta i tak nie dochodzi”."
"The connection to %1 stopped answering part way through.","Połączenie z %1 przestało odpowiadać w trakcie."
"The domain authorises %1, which has no ready-made settings here. Its server, port and credentials have to be typed in by hand.","Domena dopuszcza %1, dla którego nie mamy gotowych ustawień. Serwer, port i dane logowania trzeba wpisać ręcznie."
"The domain authorises %1, which is not what is configured here. If that is the provider you mean to use, pick it above and its server will be filled in.","Domena dopuszcza %1, a skonfigurowano tu coś innego. Jeśli to ten dostawca ma wysyłać, wybierz go powyżej, a jego serwer wypełni się sam."
"The domain publishes a submission service of its own: %1 on port %2. That is its own answer about its own mail, not a guess of ours.","Domena publikuje własny serwer nadawczy: %1 na porcie %2. To jej własna odpowiedź o jej własnej poczcie, nie nasze zgadywanie."
"The domain's records could not be read from this server, so nothing is known about them either way. That is usually DNS on the server rather than anything about the shop.","Wpisów domeny nie udało się odczytać z tego serwera, więc nie wiemy o nich nic w żadną stronę. Zwykle to kwestia DNS na serwerze, a nie samego sklepu."
"The e-mail address of the account, or any Mandrill user name.","Adres e-mail konta albo dowolna nazwa użytkownika Mandrill."
"The e-mail address of the account.","Adres e-mail konta."
"The encrypted connection to %1 could not be agreed.","Nie udało się ustalić szyfrowanego połączenia z %1."
"The envelope sender, which is where undeliverable mail comes back to. A different thing from the address above, and the one providers check.","Nadawca koperty, czyli adres, na który wracają niedostarczone wiadomości. To coś innego niż adres powyżej i to jego sprawdzają dostawcy."
"The full address of the mailbox, which has to be the address messages are sent from.","Pełny adres skrzynki, który musi być adresem, z którego wysyłane są wiadomości."
"The full address of the mailbox.","Pełny adres skrzynki."
"The health check proves a connection. Only a real message proves delivery, and only the mailbox it arrives in can say whether it landed in the inbox or the spam folder.","Kontrola stanu dowodzi połączenia. Dostarczenia dowodzi tylko prawdziwa wiadomość, a czy trafiła do skrzynki odbiorczej, czy do niechcianych, powie wyłącznie ta skrzynka."
"The message as it was to be sent","Wiadomość w postaci, w jakiej miała być wysłana"
"The message itself was not kept, so it cannot be sent again. Turn on ""Keep the message body"" to make that possible for future failures.","Sama treść wiadomości nie została zachowana, więc nie da się jej wysłać ponownie. Włącz „Zachowuj treść wiadomości”, żeby było to możliwe przy kolejnych niepowodzeniach."
"The message to %1 has been sent.","Wiadomość do %1 została wysłana."
"The message was not accepted: %1","Wiadomość nie została przyjęta: %1"
"The message was not sent.","Wiadomość nie została wysłana."
"The name %1 could not be looked up from this server.","Nazwy %1 nie udało się odnaleźć z tego serwera."
"The panel could not ask the server.","Panel nie mógł zapytać serwera."
"The password for that login. Leave both fields empty for a relay that authenticates by IP address.","Hasło do tego loginu. Przy przekaźniku uwierzytelniającym po adresie IP zostaw oba pola puste."
"The password of that mailbox, or an app password where multi-factor authentication is on.","Hasło tej skrzynki albo hasło aplikacji, jeśli włączone jest uwierzytelnianie wieloskładnikowe."
"The password set for that SMTP user.","Hasło ustawione dla tego użytkownika SMTP."
"The password would travel across the network unencrypted.","Hasło szłoby przez sieć bez szyfrowania."
"The provider in SPF","Dostawca w SPF"
"The provider's own instructions","Instrukcja samego dostawcy"
"The secret key that belongs to that API key.","Klucz tajny należący do tego klucza API."
"The sender domain has not been checked yet.","Domena nadawcy nie była jeszcze sprawdzana."
"The server accepted a message for %1 in %2 ms.","Serwer przyjął wiadomość dla %1 w %2 ms."
"The server at %1 accepts connections, and the credentials are accepted. This says nothing about delivery.","Serwer %1 przyjmuje połączenia, a dane logowania są akceptowane. To nic nie mówi o dostarczaniu."
"The server at %1 answered in a way we could not read.","Serwer %1 odpowiedział w sposób, którego nie umiemy odczytać."
"The server at %1 asked us to come back later.","Serwer %1 poprosił, żebyśmy wrócili później."
"The server at %1 could not check the credentials this time.","Serwer %1 nie mógł tym razem sprawdzić danych logowania."
"The server at %1 does not offer STARTTLS, which these settings require.","Serwer %1 nie oferuje STARTTLS, którego wymagają te ustawienia."
"The server at %1 offers no way to present the credentials that are configured.","Serwer %1 nie daje żadnego sposobu na przedstawienie skonfigurowanych danych logowania."
"The server at %1 refused the connection before anything was sent.","Serwer %1 odrzucił połączenie, zanim cokolwiek zostało wysłane."
"The server at %1 refused the user name and password.","Serwer %1 odrzucił nazwę użytkownika i hasło."
"The server at %1 refused to turn on encryption.","Serwer %1 odmówił włączenia szyfrowania."
"The server at %1 took the connection but refused the message.","Serwer %1 przyjął połączenie, ale odrzucił wiadomość."
"The server at %1 would not open a session.","Serwer %1 nie chciał otworzyć sesji."
"The server said: %1","Serwer odpowiedział: %1"
"The settings are not complete enough to send anything yet.","Ustawienia nie są jeszcze na tyle kompletne, żeby cokolwiek wysłać."
"The settings are not complete enough to try sending.","Ustawienia nie są na tyle kompletne, żeby próbować wysyłki."
"The settings cannot send anything at the moment, so there is no point trying. Fix the settings first.","Obecne ustawienia nie są w stanie nic wysłać, więc próba nie ma sensu. Najpierw popraw ustawienia."
"The shop can send e-mail again through %1.","Sklep znowu może wysyłać pocztę przez %1."
"The shop cannot send e-mail: %1 while %2, at %3.","Sklep nie może wysyłać poczty: %1 przy etapie „%2”, na %3."
"The shop is sending, but nothing was checked about the sender domain.","Sklep wysyła, ale o domenie nadawcy nic nie zostało sprawdzone."
"The shop is sending, but what %1 publishes means the mail may not be arriving.","Sklep wysyła, ale to, co publikuje %1, sprawia, że poczta może nie dochodzić."
"There is no password, although the settings say to log in.","Nie ma hasła, choć ustawienia mówią, że trzeba się logować."
"There is no route from this server to %1.","Z tego serwera nie ma trasy do %1."
"There is no sender address to send from. Set one in the general contact, or override it here.","Nie ma adresu nadawcy, z którego można wysłać. Ustaw go w ogólnym kontakcie albo nadpisz tutaj."
"There is no server address.","Nie ma adresu serwera."
"There is no user name, although the settings say to log in.","Nie ma nazwy użytkownika, choć ustawienia mówią, że trzeba się logować."
"There is nobody to send a test message to.","Nie ma komu wysłać wiadomości testowej."
"There is nothing more we can say about this one.","Nic więcej nie umiemy o tym powiedzieć."
"This has to match the port. The two together are the commonest reason a correct password looks like a dead server.","To musi zgadzać się z portem. Te dwie rzeczy razem są najczęstszym powodem, dla którego poprawne hasło wygląda jak martwy serwer."
"This is usually a session that has expired. Reload the page and try again.","Zwykle oznacza to wygasłą sesję. Odśwież stronę i spróbuj ponownie."
"This message was not kept, so it cannot be sent again. Entries are only kept in full while ""Keep the message body"" is on.","Ta wiadomość nie została zachowana, więc nie da się jej wysłać ponownie. Wpisy są zachowywane w całości tylko przy włączonej opcji „Zachowuj treść wiadomości”."
"This message was sent from the mail settings of your shop.","Ta wiadomość została wysłana z ustawień poczty Twojego sklepu."
"This warning was sent through the server's local mail command rather than the configured provider, because the configured provider is the thing that is not working.","To ostrzeżenie wysłaliśmy lokalnym poleceniem pocztowym serwera, a nie przez skonfigurowanego dostawcę, bo to właśnie skonfigurowany dostawca nie działa."
"Through","Przez"
"To","Do"
"Took","Zajęło"
"Took (ms)","Zajęło (ms)"
"Unknown failure","Nieznana awaria"
"Unknown server name","Nieznana nazwa serwera"
"Unreadable answer","Nieczytelna odpowiedź"
"User name","Nazwa użytkownika"
"We cannot tell which domain this shop sends as, so its records were not checked. Fill in the sender address, or use a login that is an address at the shop's own domain.","Nie wiemy, z jakiej domeny ten sklep wysyła, więc jej wpisy nie zostały sprawdzone. Wypełnij adres nadawcy albo użyj loginu będącego adresem we własnej domenie sklepu."
"Webhook address","Adres webhooka"
"What is configured","Co jest skonfigurowane"
"What the server said","Co powiedział serwer"
"What this provider expects","Czego oczekuje ten dostawca"
"Whatever the provider expects (recommended)","To, czego oczekuje dostawca (zalecane)"
"Whatever the server expects as the login, usually a full e-mail address.","To, czego serwer oczekuje jako loginu, zwykle pełny adres e-mail."
"Who is told","Kto jest powiadamiany"
"Who is told when sending breaks","Kto zostanie powiadomiony, gdy wysyłka przestanie działać"
"Why it did not go out","Dlaczego nie wyszła"
"Will the mail be believed","Czy poczcie uwierzą"
"With this off, Magento sends the way it did before the module was installed. Nothing here is lost, and turning it back on restores it.","Przy wyłączonej opcji Magento wysyła tak jak przed instalacją modułu. Nic tutaj nie przepada, a ponowne włączenie przywraca wszystko."
"Working","Działa"
"Working on it…","Pracujemy nad tym…"
"Worth fixing in the settings","Warto poprawić w ustawieniach"
"Zoho keeps each data centre on its own address, and it has to be the one the account lives in.","Zoho trzyma każde centrum danych pod własnym adresem i musi to być ten, w którym mieszka konto."
"a bar across the admin panel","pasek na każdej stronie panelu"
"a line in the log, and the exit code of bin/magento calmfox:smtp:health","wpis w logu oraz kod wyjścia polecenia bin/magento calmfox:smtp:health"
"a webhook","webhook"
"agreeing the encryption","ustalanie szyfrowania"
"an e-mail to %1","wiadomość e-mail na %1"
"asking for encryption","prośba o szyfrowanie"
"authorises this provider","dopuszcza tego dostawcę"
"connecting","łączenie"
"does not authorise this provider","nie dopuszcza tego dostawcy"
"finishing","kończenie"
"logging in","logowanie"
"never","nigdy"
"none","brak"
"not checked","nie sprawdzono"
"not published","nieopublikowany"
"not set","nie ustawiono"
"nothing is sent; the server accepts us by address","nic nie jest wysyłane; serwer przyjmuje nas po adresie"
"opening the session","otwieranie sesji"
"published","opublikowany"
"reading the greeting","odczyt powitania"
"somebody@example.com","ktos@przyklad.pl"
